measured log solubility in mols per litre,smiles,mol_id
-5.05,CC(C)CCC(C)(C)C,"2,2,5-Trimethylhexane"
-4.14,Cc1ccc(C)c2ccccc12,"1,4-Dimethylnaphthalene "
-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14,6-Methylchrysene
-0.19,CCCC(=O)C,2-Pentanone
-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,"2,2',3,3',5,5',6,6'-PCB"
-0.82,CCCOC(=O)CC,Methyl butyrate
-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,Triamcinolone
-0.8,Nc1ccc(O)cc1,p-Aminophenol
-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,Benznidazole
-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,"Atovaquone(0,430mg/ml) - neutral"
-4.06,CCNc1nc(Cl)nc(n1)N(CC)CC,Trietazine
-0.667,NC(=O)c1cnccn1,Pyrazinamide
-2.68,CCC(Br)(CC)C(=O)NC(N)=O,Carbromal
-5.27,Clc1ccccc1c2ccccc2Cl ,"2,2'-PCB"
-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,nitrofurantoin
-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,Nitrofen
-1.96,CC1(C)C2CCC1(C)C(=O)C2,Camphor
-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,5-Allyl-5-phenylbarbital
-2.25,CCCCC(=O)OCC,Pentyl propanoate
-1.92,CC(C)CCOC(=O)C,Isopentyl acetate
-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Hexanoyloxymethylphenyltoin
-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,"2,3',5-PCB"
-1.73,CCCBr,1-Bromopropane
-3.4930000000000003,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,Propiconazole
-1.995,COP(=S)(OC)SCC(=O)N(C)C=O,Formothion
-0.466,Cc1ncnc2nccnc12,4-methylpteridine
0.32,NC(=S)N,Thiourea
-2.77,Cc1ccc(C)cc1,p-Xylene 
-3.28,CCc1ccccc1CC,"1,2-Diethylbenzene"
-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,Hexachloroethane
-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,Flucythrinate
-0.8,CCCN(=O)=O,1-Nitropropane
-2.35,CC(C)C1CCC(C)CC1=O,Menthone
-5.36,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,RTI 24
-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1,"2,3-Dichloronitrobenzene"
-3.46,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,thiamylal
-6.0,c1ccc2c(c1)c3cccc4cccc2c34,Fluoranthene
-1.34,CCCOC(C)C,Propylisopropylether
-4.29,Cc1cc(C)c2ccccc2c1,"1,3-Dimethylnaphthalene"
-4.07,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,diethylstilbestrol
-5.64,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,Chlorothalonil
-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,"2,3',4',5-PCB"
-1.6,C1OC1c2ccccc2 ,styrene oxide
-3.27,CC(C)c1ccccc1,Isopropylbenzene 
-3.45,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,Deoxycorticosterone
-5.43,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,chlorquinox
0.39,C1OC(O)C(O)C(O)C1O,L-arabinose
-0.63,ClCCl,Dichloromethane
-4.17,CCc1cccc2ccccc12,1-Ethylnaphthalene 
0.58,COC=O,Methyl formate
-1.74,Oc1ccccc1N(=O)=O,o-Nitrophenol
-1.506,Cc1c[nH]c(=O)[nH]c1=O ,thymine
-2.55,CC(C)C,2-Methylpropane
-1.23,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,Inosine
-3.61,Oc1c(I)cc(C#N)cc1I,Ioxynil
-4.7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,Niclosamide
-3.18,CCCCC,Pentane
0.0,c1ccccc1O,Phenol
-5.17,Nc3ccc2cc1ccccc1cc2c3 ,2-aminoanthracene
-2.523,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,theobromine
-1.45,c1ccc2cnccc2c1,Isoquinoline
-4.432,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,Anilofos
-5.21,CCCCCCc1ccccc1,Hexylbenzene 
-4.54,Clc1ccccc1c2ccccc2,2-Chlorobiphenyl
-3.03,CCCC(=C)C,2-Methyl-1-Pentene
-4.8,CC(C)C(C)C(C)C,"2,3,4-Trimethylpentane"
-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,Pentachlorobenzene
-1.01,Oc1cccc(c1)N(=O)=O,m-Nitrophenol
-5.51,CCCCCCCCC=C,1-Decene
-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C,Glyceryl triacetate
-2.24,CCCCc1c(C)nc(nc1O)N(C)C ,dimethirimol
-7.3370000000000015,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,Cyfluthrin
0.76,c1ccncc1,Pyridine
-4.43,CCCCCCCBr,1-Bromoheptane
0.36,Cc1ccncc1C,"3,4-Dimethylpyridine"
-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,Fludrocortisone
-2.09,CCSCc1ccccc1OC(=O)NC ,ethiofencarb
-0.82,CCOC(=O)CC(=O)OCC,Malonic acid diethylester
-4.26,CC1=CCC(CC1)C(C)=C,d-Limonene
-3.04,C1Cc2ccccc2C1,Indan
-2.41,CC(C)(C)c1ccc(O)cc1,p-t-Butylphenol
-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 ,Cyclopropyl-5-spirobarbituric acid
-3.55,Clc1cccc(I)c1,m-Chloroiodobenzene
-4.35,Brc1cccc2ccccc12,1-Bromonapthalene
-2.54,CC/C=C/C,trans-2-Pentene 
0.45,Cc1cccc(C)n1,"2,6-Dimethylpyridine"
-1.96,ClC=C(Cl)Cl,Trichloroethylene
-1.92,Nc1cccc2ccccc12,1-Napthylamine
-2.82,Cc1cccc(C)c1,m-Xylene 
-1.947,Oc2ncc1nccnc1n2,2-hydroxypteridine
1.57,CO,Methanol
-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,Amobarbital
0.52,CCC(=O)C,2-Butanone
-1.077,Fc1c[nH]c(=O)[nH]c1=O ,5-fluorouracil
-1.95,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,tubercidin
0.81,Oc1cccc(O)c1,"1,3-Benzenediol"
-1.24,CCCCCCO,1-Hexanol
-2.73,CCCCCCl,1-Chloropentane
-1.87,C=CC=C,"1,3-Butadiene"
-0.72,CCCOC(=O)C,Propyl acetate
-1.99,Oc2ccc1CCCCc1c2 ,"5,6,7,8-tetrahydro-2-naphthol"
-0.02,NC(=O)CCl ,chloroacetamide
-6.62,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,Iodofenphos
-3.08,Cc1ccc(Cl)cc1,4-Chlorotoluene
-2.253,CSc1nnc(c(=O)n1N)C(C)(C)C,Metribuzin
-6.01,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,Tricresyl phosphate
-1.3,CCCCCC=O,Caproaldehyde
-3.082,CCCCOC(=O)c1ccc(N)cc1,Butamben
-3.043,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,RTI 3
-2.46,CC(C)=CCC/C(C)=C\CO,Nerol
-5.28,Clc1ccc(cc1)c2ccccc2Cl ,"2,4'-PCB"
-6.523,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Octanoyloxymethylphenytoin
-0.22,CCN(=O)=O,Nitroethane
-6.124,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,Ethalfluralin
-4.57,Clc1ccc(Cl)c(Cl)c1Cl,"1,2,3,4-Tetrachlorobenzene"
-1.807,CCCC(C)(COC(N)=O)COC(N)=O ,Meprobamate
-4.65,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,pregnenolone
-1.0,CI,Iodomethane
-1.13,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,cycloheximide
-6.301,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Heptanoyloxymethylphenytoin
-1.06,CC1=CC(=O)CC(C)(C)C1 ,isophorone
-2.39,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,Butabarbital
-2.58,CCCCC(=O)CCCC,5-Nonanone
-2.337,CCC1(CCC(=O)NC1=O)c2ccccc2 ,Glutethimide
-3.68,CCC(C)CC,3-Methylpentane
-8.6,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,Etofenprox
-2.925,Cc1ccccc1n3c(C)nc2ccccc2c3=O,Methaqualone
-0.092,ClCC#N,Chloroacetonitrile
-5.752000000000002,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,Trichloronate
-5.66,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,Ethisterone
1.1,c1ccnnc1,Pyridazine
-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1,"1,2,3,5-Tetrachlorobenzene"
-7.32,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,Diosgenin
-0.72,Nc1ccccc1O,o-Aminophenol
-3.8,CCCCCCCCC(=O)OCC,Ethyl nonanoate
-1.601,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,metalaxyl
-2.05,CNC(=O)Oc1ccccc1OC(C)C,Propoxur
-1.96,CCC(C)Cl,2-Chlorobutane
-2.28,Oc1ccc2ccccc2c1,2-Napthol
-5.6960000000000015,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,Oxadiazon
-2.36,CCCCC#C,1-Hexyne 
-4.24,CCCCCCCC#C,1-Nonyne 
-3.52,Cc1ccccc1Cl,2-Chlorotoluene
-1.1,CC(C)OC(C)C,Diisopropyl ether 
-3.094,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,Dapsone
1.34,CNN,Methyl hydrazine
-0.41,CC#C,Propyne
-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,Phoxim
-3.408,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,Propetamphos
0.57,C=CC=O,Acrolein
-2.296,O=c1[nH]cnc2nc[nH]c12 ,Hypoxanthine
-2.16,Oc2ccc1ncccc1c2 ,6-hydroxyquinoline
-1.8,Fc1ccccc1,Fluorobenzene
-1.47,CCCCl,1-Chloropropane
-0.04,CCOC(=O)C,Ethyl acetate
-4.36,CCCC(C)(C)C,"2,2-Dimethylpentane"
-4.0,Cc1cc(C)c(C)c(C)c1C,Pentamethylbenzene
-1.64,CC12CCC(CC1)C(C)(C)O2 ,eucalyptol
-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,dibutyl sebacate
-6.56,Clc1ccc(cc1)c2ccc(Cl)cc2 ,"4,4'-PCB"
0.38,Cc1cccnc1C,"2,3-Dimethylpyridine"
-2.06,CC(=C)C1CC=C(C)C(=O)C1,Carvone
-5.7360000000000015,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,Carbophenthion
-3.571,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,"Etoposide (148-167,25mg/ml)"
-8.804,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,Perylene
-2.82,Cc1ccc(cc1N(=O)=O)N(=O)=O,"2,4-Dinitrotoluene"
-4.4,c1c(Br)ccc2ccccc12 ,2-bromonaphthalene
-2.34,CNC(=O)Oc1cccc(N=CN(C)C)c1,Formetanate
-1.139,COc2cnc1ncncc1n2,6-methoxypteridine
-3.19,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,nevirapine
-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,Isazofos
-2.03,CC(=C)C=C,"2-Methyl-1,3-Butadiene "
-1.99,CC(C)=CCCC(O)(C)C=C,linalool
-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1,Fenthion
-0.44,OC1CCCCC1,Cyclohexanol 
-1.16,O=C1NC(=O)NC(=O)C1(C)CC=C,5-Allyl-5-methylbarbital
-4.16,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,Epiandrosterone
0.06,OCC(O)C(O)C(O)C(O)CO ,mannitol
-4.62,Cc1ccc(cc1)c2ccccc2,4-Methylbiphenyl
-3.85,CCNc1nc(Cl)nc(NC(C)C)n1,Atrazine
-1.77,NC(=S)Nc1ccccc1,Phenylthiourea
-1.3,CCCC(=O)CCC,4-Heptanone
-0.72,CC(=O)C(C)(C)C,"3,3-Dimethyl-2-butanone"
-0.7,Oc1ccc(Cl)cc1,4-Chlorophenol 
-0.6,O=C1CCCCC1,Cyclohexanone
-0.85,Cc1cccc(N)c1,m-Methylaniline
-2.168,ClC(Cl)(Cl)C#N,Trichloroacetonitrile
-4.046,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,norflurazon
-3.3,CCCCCCCCC(=O)C,2-Decanone
-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,Ipazine
-2.616,CCOC(=O)c1ccc(N)cc1,Benzocaine
-3.59,Clc1ccc(Cl)c(Cl)c1,"1,2,4-Trichlorobenzene"
-4.09,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,Triazolam
0.62,Oc1ccccc1O,"1,2-Benzenediol"
-2.62,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,Reverse Transcriptase inhibitor 1
-0.45,CSC,Dimethyl sulfide
-2.23,Cc1ccccc1Br,2-Bromotoluene
0.85,CCOC(=O)N,O-Ethyl carbamate
-5.35,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,megestrol acetate
-1.22,CC(C)C(O)C(C)C,"2,4-Dimethyl-3-pentanol"
-3.6,c1ccc2ccccc2c1,Napthalene
-1.7,CCNc1ccccc1,N-Ethylaniline
-4.097,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,Phenytoin
-7.02,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,"7,12-Dimethylbenz(a)anthracene"
-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,Dialifor
-6.89,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,Methoxychlor
-7.28,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,TEFLUBENZURON
-4.678,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Pentanoyloxymethylphenytoin
-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1,Monuron
-3.37,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,Flutriafol
-4.13,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,triamcinolone diacetate
-2.37,CCCCBr,1-Bromobutane
-6.98,Brc1cc(Br)c(Br)cc1Br,"1,2,4,5-Tetrabromobenzene"
-0.74,CC(C)CC(=O)C,4-Methyl-2-pentanone
-3.4,CCSC(=O)N(CC)C1CCCCC1 ,cycloate
-2.78,COc1ccc(Cl)cc1,4-Chloroanisole
-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Deltamethrin
-2.016,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,Talbutal
-4.04,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,Fenitrothion
-4.55,Ic1cccc2ccccc12,1-Iodonapthalene
1.09,OCC(O)C(O)C(O)C(O)CO,Sorbitol
-0.6,CCS,Ethanethiol
-1.48,ClCC(Cl)Cl,"1,1,2-Trichloroethane"
-2.09,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,Pyrolan
-1.82,NC(=O)c1ccccc1O,o-Hydroxybenzamide
-2.33,Cc1ccccc1N(=O)=O,o-Nitrotoluene
-2.766,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,"5,5-Diisopropylbarbital"
-3.21,CCc1ccccc1C,2-Ethyltoluene
-4.0,CCCCCCCCl,1-Chloroheptane
-2.4,O=C1NC(=O)NC(=O)C1(CC)CC,Barbital
-4.62,C(Cc1ccccc1)c2ccccc2,Bibenzyl 
-1.74,ClC(Cl)C(Cl)Cl,"1,1,2,2-Tetrachloroethane"
-5.153,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,RTI 23
-5.84,Cc1ccc2c(ccc3ccccc32)c1,2-Methylphenanthrene
-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,dibutylphthalate
-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,tetrachloroguaiacol
0.523,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,Dimecron
-5.282,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,Equilin
-4.5760000000000005,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,Chlorimuron-ethyl (ph 7)
-2.41,COc1ccc(cc1)N(=O)=O,p-Nitroanisole
-3.12,CCCCCCCl,1-Chlorohexane
-9.16,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,"2,2',3,3',4,4',5,5'-PCB"
-0.41,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,Raffinose
-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC,hexacosane
-3.324,CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,RTI 5
-1.29,CC(Cl)Cl,"1,1-Dichloroethane"
-1.34,Nc1ccc(cc1)S(N)(=O)=O,Sulfanilamide
-6.49,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,Isopropalin
-4.64,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Lindane
-4.194,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,Isofenphos
-4.0,Clc1cccc(Cl)c1Cl,"1,2,3-Trichlorobenzene"
-2.31,ClC(Cl)(Cl)Cl,Tetrachloromethane
-3.2,O=N(=O)c1cc(Cl)c(Cl)cc1,"3,4-Dichloronitrobenzene"
-1.29,OC1CCCCCCC1,Cyclooctanol
-3.999,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,17a-Methyltestosterone
-2.17,CCOc1ccc(NC(N)=O)cc1,Dulcin
-4.47,C/C1CCC(\C)CC1,"trans-1,4-Dimethylcyclohexane"
-2.68,c1cnc2c(c1)ccc3ncccc23,"1,7-phenantroline"
-0.24,COC(C)(C)C,Methyl t-butyl ether 
-3.13,COc1ccc(C=CC)cc1,Anethole
-7.0,CCCCCCCCCCCCCCCCO,1-Hexadecanol
-1.4880000000000002,O=c1cc[nH]c(=O)[nH]1 ,uracil
-2.12,Nc1ncnc2nc[nH]c12 ,adenine
-7.21,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,"2,2',3,4,5-PCB"
-2.596,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,Ancymidol
-8.23,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,Benzo(b)fluoranthene
-3.15,O=C(Nc1ccccc1)Nc2ccccc2,Carbanilide
-2.322,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,phenobarbital
-6.29,Clc1ccc(cc1)c2cccc(Cl)c2Cl ,"2',3,4-PCB"
-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1,Isoproturon
-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1,Azintamide
-1.04,CCC(C)(C)CO,"2,2-Dimethyl-1-butanol"
-1.75,CCCOC(=O)CCC,Ethyl pentanoate
-3.22,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,"2,4,6-Trinitrotoluene"
-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,Bensulide
-3.51,C1CCCCCC1,Cycloheptane
-0.49,CCCOC=O,Propyl formate
-3.76,CC(C)c1ccccc1C,2-Isopropyltoluene
-1.37,Nc1cccc(Cl)c1,m-Chloroaniline
-4.26,CC(C)CC(C)C,"2,4-Dimethylpentane"
-4.6,o1c2ccccc2c3ccccc13,Dibenzofurane
-3.42,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,ethofumesate
-3.43,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,Fluometuron
-3.67,c3ccc2nc1ccccc1cc2c3,Acridine
-3.11,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,Cortisone
0.74,OCC1OC(O)C(O)C(O)C1O,glucose
-0.68,Cc1cccc(O)c1,3-Methylphenol
-3.5860000000000003,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,Indapamide
-6.005,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,Lovastatin
-3.39,O=N(=O)c1ccc(cc1)N(=O)=O,"1,4-Dinitrobenzene"
-2.696,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,Reposal
-4.1,CCCCCCCCCC(=O)OCC,Ethyl decanoate
-1.6,CN(C)C(=O)Nc1ccccc1,Fenuron
-0.66,CCCOCC,Ethyl propyl ether
0.43,CC(C)O,2-Propanol
-3.77,Cc1ccc2ccccc2c1,2-Methylnapthalene
-1.9,ClC(Br)Br,Chlorodibromethane
-4.43,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,Hexestrol
-3.37,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,Malathion
-2.39,ClCc1ccccc1,Benzylchloride
0.32,C/C=C/C=O,t-Crotonaldehyde
-3.924,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,Chlorbromuron
-6.57,Cc1c2ccccc2c(C)c3ccccc13,"9,10-Dimethylanthracene"
-1.87,CCCCCC(=O)OC,Methyl hexanoate
-4.328,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,Dimefuron
-1.78,CC(=O)Nc1ccc(F)cc1,p-Fluoroacetanilide
-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl ,alachlor
-2.59,C1CCC=CC1,Cyclohexene
-3.09,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,Hydrocortisone 
1.1,c1cncnc1,Pyrimidine
