NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,smiles,mol_id
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,CCN(CC)C(=O)c1cccnc1,TOX26524
0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,COc1cc(O)cc(O)c1,TOX26525
,,,,,,,0.0,,0.0,,,CCOC(=O)c1cccnc1,TOX26526
0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,CCOc1ccc(S(=O)(=O)O)c2cccnc12,TOX26521
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(O)[C@H](O)c1ccccc1,TOX26523
0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,Nc1ccc(/N=N/c2ccccc2)cc1,TOX4460
0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,TOX22631
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,TOX22632
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,TOX22633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C#CCO,TOX1883
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Nc1ccccc1S(=O)(=O)O,TOX4463
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(O)CC(C)(C)O,TOX1885
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)(C)CC(C)(C)N,TOX1886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(=O)CC(C)C,TOX1889
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCC(C)=O,TOX1888
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nc1nc2ccccc2[nH]1,TOX4465
0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,TOX1106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1,TOX161
0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,CNC(=O)Nc1ccc(Cl)c(Cl)c1,TOX22180
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,CC(=O)Nc1ccc(C)c(Cl)c1,TOX22181
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CCCCNC(=S)NCCCC,TOX22187
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCNC(=O)NCCCC,TOX22188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)N(c1ccccc1)C(C)C,TOX22189
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCc1cccc(C)c1,TOX7876
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,TOX7877
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,TOX7875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCCCCCCCCCC=CC1CC(=O)OC1=O,TOX7870
0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,TOX4110
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],TOX4112
0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCOP(=S)(CC)Sc1ccccc1,TOX4113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC/C=C\CCCCO,TOX27698
,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,TOX27695
0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,TOX24280
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(=O)CCC(C)=O,TOX10138
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N#CCCNCCC#N,TOX21464
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,TOX21728
0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,TOX21721
0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,TOX21726
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,TOX24000
0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,TOX24002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1ccccc1CCO,TOX27071
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1nc(C)c(C)nc1C,TOX27070
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1=CC(O)CC(C)(C)C1,TOX27072
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1cnc(C)c(C)n1,TOX27075
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)COC(=O)c1ccccc1,TOX27074
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)[C@@H]1CC=C(C)CC1,TOX27078
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],TOX19719
0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,Nc1ccc(N)c([N+](=O)[O-])c1,TOX957
0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,CC1COc2ccccc2N1,TOX24915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,O=C(O)c1cc(Cl)cc(Cl)c1O,TOX24914
0.0,,0.0,,,,,,0.0,,,,CCCCCCCCCCCC(=O)NCCCN(C)C,TOX24913
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)CCCCCOC(=O)CCS,TOX24911
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,TOX956
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,TOX24919
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,C=CCOc1c(Br)cc(Br)cc1Br,TOX24918
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,F[B-](F)(F)F.[H+],TOX9739
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,TOX9733
0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,C(=C/c1ccccc1)\c1ccccc1,TOX6050
0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,Cc1ccc2c(ccc3ccccc32)c1,TOX5649
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,TOX2968
0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,TOX2967
0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,0.0,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,TOX2614
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COC(=O)C1=CCCN(C)C1,TOX2617
,,,,,,,0.0,,0.0,,,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,TOX2611
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],TOX5642
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],TOX5641
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,TOX2612
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCC(C)O,TOX27158
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,O=C([O-])c1ccccc1O,TOX1708
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC(=O)c1ccccc1,TOX1709
,,,,,,,0.0,,0.0,,,CCN1CCc2nc(N)oc2CC1,TOX25756
0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,TOX25757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,TOX9559
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,TOX25755
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,TOX25752
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,TOX25753
0.0,,0.0,,,0.0,,1.0,0.0,0.0,0.0,0.0,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,TOX25750
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,Nc1ccc([N+](=O)[O-])cc1N,TOX958
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[I-].[K+],TOX14836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,TOX4786
0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,Oc1nc(Cl)c(Cl)cc1Cl,TOX18317
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C/C=C/C=C/C=O,TOX5391
1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,TOX4781
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C[Si](C)(C)N[Si](C)(C)C,TOX5395
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,C=CC(=O)OCCCl,TOX4783
0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,COCC(C)N(C(=O)CCl)c1c(C)csc1C,TOX12376
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,TOX25538
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],TOX12375
0.0,0.0,0.0,,,,,1.0,,0.0,,,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,TOX12372
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,TOX25533
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,TOX25530
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,TOX25531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,TOX25536
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,TOX25537
1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,TOX25534
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,TOX12379
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(O)/C=C(\CC(=O)O)C(=O)O,TOX28632
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,TOX28633
,,,,,,,0.0,,0.0,,,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,TOX28630
0.0,0.0,0.0,,,0.0,,1.0,0.0,,,1.0,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,TOX14792
,,,,,,,0.0,,0.0,,,CNCC(=O)c1ccc(O)c(O)c1,TOX28636
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CC(C)(C)C1CCC(=O)CC1,TOX24394
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,TOX3568
0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,TOX28634
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,TOX3565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CCCCC(=O)[O-],TOX28635
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCCCCCCCCCC(=O)OC,TOX7019
,,,,,,,0.0,,0.0,,,Nc1ccncc1N,TOX26715
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCCC(C)O,TOX7014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCC[Si](OC)(OC)OC,TOX22494
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1=C(CC=O)C(C)(C)CCC1,TOX27088
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NCCNCCNCCN,TOX3702
1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,TOX3706
0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,TOX4280
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,Cc1ccc(N)c(N)c1,TOX4930
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCNCCCCC,TOX4931
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COCC(C)O,TOX4284
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,c1ccc2c(c1)Oc1ccccc1S2,TOX4937
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1CN1,TOX4286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,TOX4287
,,,,,,,,,0.0,,,NCC(=O)CCC(=O)O,TOX25914
0.0,,,1.0,0.0,,0.0,,0.0,1.0,0.0,,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,TOX25447
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,TOX175
0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,TOX25916
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ClCOCCl,TOX173
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(O)CNCC(C)O,TOX179
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,TOX13979
0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,TOX17262
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,TOX25007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CCOC(=O)C1OC1c1ccccc1,TOX5886
0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,ONc1ccccc1,TOX5889
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,O=CC(=O)c1ccccc1,TOX5888
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,[Cu]I,TOX21803
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],TOX21530
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,ClCc1ccc(Cl)cc1Cl,TOX25005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(O)CCCCCCCCC(=O)O,TOX6867
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCCCC(=O)OC,TOX6864
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(O)COCC(C)O,TOX6863
,,,,,,,0.0,,0.0,,,Cc1ccc(C(=O)C(=O)[O-])cc1C,TOX31626
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,TOX26644
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1ncc[nH]1,TOX2107
0.0,,0.0,1.0,,0.0,1.0,,0.0,0.0,,,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,TOX27268
0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,TOX27264
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,TOX27265
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,TOX27266
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,TOX27267
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,TOX27261
0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,TOX27262
0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,TOX27263
1.0,1.0,0.0,,1.0,,0.0,,0.0,,0.0,0.0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],TOX26647
,,,,,,,0.0,,0.0,,,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,TOX28974
